status,run_id,dataset,model,mode,seed,layers,k_combo,max_children,extra_dims,input_dim,state_dim,num_classes,epochs,lr,batch_size,init_samples,kmeans_iters,params,best_epoch,best_val_acc,best_val_f1,final_val_acc,final_val_f1,test_acc,test_f1,train_time_sec,selected_children,total_children,train_fisher_l0,train_fisher_l1,train_fisher_l2,val_fisher_l0,val_fisher_l1,val_fisher_l2,test_fisher_l0,test_fisher_l1,test_fisher_l2,layer1_children,layer1_sigma_mean,layer1_gate_active,layer1_move_norm,layer1_alpha_eff,layer1_parent_top_rate,layer1_child_top_rate,layer2_children,layer2_sigma_mean,layer2_gate_active,layer2_move_norm,layer2_alpha_eff,layer2_parent_top_rate,layer2_child_top_rate
ok,checkerboard3d_g4__L2_extra3__autok_max100__seed0,checkerboard3d_g4,AAT-L2-extra3-AutoK-max100,auto,0,2,auto,100,3,3,6,2,300,0.002,256,4096,8,1450,278,0.953613,0.953604,0.947266,0.947258,0.947266,0.947229,47.06,"[[39, 39], [39, 39]]",156,0.619791,41.639626,8205.182617,2.350612,20.484529,3211.268066,0.442495,19.286072,2803.634521,39.0,0.118621,0.168275,0.165673,1.791744,0.005371,0.994629,39.0,0.115442,0.275284,0.785206,1.363236,0.500488,0.499512
ok,checkerboard3d_g4__L2_extra3__fixed_k_34-34__seed0,checkerboard3d_g4,AAT-L2-extra3-K34-34,fixed,0,2,34-34,34,3,3,6,2,300,0.002,256,4096,8,1270,231,0.954102,0.954101,0.94873,0.948701,0.937012,0.936936,61.575,"[[34, 34], [34, 34]]",136,0.619791,41.30537,7381.764648,2.350612,19.465778,2859.811279,0.442495,18.590811,2576.5625,34.0,0.123416,0.179027,0.165227,1.80674,0.0,1.0,34.0,0.119873,0.339226,0.763292,1.379661,0.48584,0.51416
ok,checkerboard3d_g4__L2_extra3__fixed_k_34-37__seed0,checkerboard3d_g4,AAT-L2-extra3-K34-37,fixed,0,2,34-37,37,3,3,6,2,300,0.002,256,4096,8,1324,293,0.950195,0.950183,0.93457,0.934518,0.932617,0.932603,72.646,"[[34, 34], [37, 37]]",142,0.619791,41.685509,6748.819336,2.350612,19.892019,2566.925537,0.442495,19.084112,2266.121338,34.0,0.12231,0.173979,0.175507,1.80254,0.006348,0.993652,37.0,0.114784,0.27124,0.746648,1.313506,0.493164,0.506836
ok,checkerboard3d_g4__L2_extra3__fixed_k_34-40__seed0,checkerboard3d_g4,AAT-L2-extra3-K34-40,fixed,0,2,34-40,40,3,3,6,2,300,0.002,256,4096,8,1378,233,0.952637,0.952616,0.941895,0.941869,0.933105,0.933092,107.816,"[[34, 34], [40, 40]]",148,0.619791,39.298756,6603.775391,2.350612,19.140638,2512.243896,0.442495,18.619308,2227.520752,34.0,0.121597,0.178445,0.170633,1.785257,0.0,1.0,40.0,0.114649,0.361304,0.753178,1.376446,0.459961,0.540039
