status,run_id,dataset,model,mode,seed,layers,fixed_k,selected_k,max_children,state_mode,extra_dims,input_dim,state_dim,num_classes,epochs,lr,batch_size,init_samples,kmeans_iters,params,best_epoch,best_val_acc,best_val_f1,final_val_acc,final_val_f1,test_acc,test_f1,train_time_sec,selected_children,total_children,layer1_children,layer1_sigma_mean,layer1_gate_active,layer1_move_norm,layer1_alpha_eff
ok,mnist__L1_x1p5__fixed_k19__seed0,mnist,AAT-L1-x1p5-K19,fixed,0,1,19,19,19,x1p5,392,784,1176,10,80,0.001,256,8192,6,247560,53,0.9722,0.971842,0.9645,0.964108,0.9703,0.970095,193.185,"[[19, 19, 19, 19, 19, 19, 19, 19, 19, 19]]",190,19.0,2.853649,0.229759,0.916142,4.752305
ok,mnist__L1_x1p5__fixed_k20__seed0,mnist,AAT-L1-x1p5-K20,fixed,0,1,20,20,20,x1p5,392,784,1176,10,80,0.001,256,8192,6,259350,33,0.9725,0.97217,0.9715,0.971171,0.9697,0.969463,190.6,"[[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]]",200,20.0,2.872294,0.22312,0.903078,4.943822
ok,mnist__L1_x1p5__fixed_k21__seed0,mnist,AAT-L1-x1p5-K21,fixed,0,1,21,21,21,x1p5,392,784,1176,10,80,0.001,256,8192,6,271140,66,0.973,0.972651,0.9721,0.971721,0.9713,0.971078,191.887,"[[21, 21, 21, 21, 21, 21, 21, 21, 21, 21]]",210,21.0,2.847874,0.213728,0.911205,4.743016
ok,mnist__L1_x1p5__fixed_k22__seed0,mnist,AAT-L1-x1p5-K22,fixed,0,1,22,22,22,x1p5,392,784,1176,10,80,0.001,256,8192,6,282930,31,0.9718,0.971396,0.9715,0.971101,0.9708,0.970502,190.801,"[[22, 22, 22, 22, 22, 22, 22, 22, 22, 22]]",220,22.0,2.873288,0.207178,0.898474,4.931314
ok,mnist__L1_x1p5__fixed_k23__seed0,mnist,AAT-L1-x1p5-K23,fixed,0,1,23,23,23,x1p5,392,784,1176,10,80,0.001,256,8192,6,294720,80,0.9731,0.972777,0.9731,0.972777,0.9688,0.968507,190.125,"[[23, 23, 23, 23, 23, 23, 23, 23, 23, 23]]",230,23.0,2.840522,0.198883,0.924065,4.729249
ok,mnist__L1_x1p5__fixed_k24__seed0,mnist,AAT-L1-x1p5-K24,fixed,0,1,24,24,24,x1p5,392,784,1176,10,80,0.001,256,8192,6,306510,60,0.9743,0.97396,0.9698,0.969369,0.9696,0.969323,189.8,"[[24, 24, 24, 24, 24, 24, 24, 24, 24, 24]]",240,24.0,2.845891,0.200781,0.921491,4.796032
ok,mnist__L1_x1p5__fixed_k25__seed0,mnist,AAT-L1-x1p5-K25,fixed,0,1,25,25,25,x1p5,392,784,1176,10,80,0.001,256,8192,6,318300,56,0.9726,0.972286,0.9701,0.96971,0.9707,0.970456,190.82,"[[25, 25, 25, 25, 25, 25, 25, 25, 25, 25]]",250,25.0,2.852937,0.194738,0.922945,4.901946
ok,mnist__L1_x1p5__fixed_k26__seed0,mnist,AAT-L1-x1p5-K26,fixed,0,1,26,26,26,x1p5,392,784,1176,10,80,0.001,256,8192,6,330090,61,0.9724,0.972025,0.9719,0.971579,0.9699,0.969651,191.065,"[[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]]",260,26.0,2.849845,0.183117,0.923593,4.850276
ok,mnist__L1_x1p5__fixed_k27__seed0,mnist,AAT-L1-x1p5-K27,fixed,0,1,27,27,27,x1p5,392,784,1176,10,80,0.001,256,8192,6,341880,39,0.9728,0.972453,0.9728,0.97245,0.9696,0.96935,190.626,"[[27, 27, 27, 27, 27, 27, 27, 27, 27, 27]]",270,27.0,2.864567,0.184068,0.910387,4.95353
ok,mnist__L1_x1p5__fixed_k28__seed0,mnist,AAT-L1-x1p5-K28,fixed,0,1,28,28,28,x1p5,392,784,1176,10,80,0.001,256,8192,6,353670,70,0.973,0.972624,0.9715,0.971106,0.9704,0.970088,191.52,"[[28, 28, 28, 28, 28, 28, 28, 28, 28, 28]]",280,28.0,2.846174,0.170696,0.922064,4.75397
ok,mnist__L1_x1p5__fixed_k29__seed0,mnist,AAT-L1-x1p5-K29,fixed,0,1,29,29,29,x1p5,392,784,1176,10,80,0.001,256,8192,6,365460,28,0.9729,0.972601,0.9716,0.971265,0.9682,0.967957,190.777,"[[29, 29, 29, 29, 29, 29, 29, 29, 29, 29]]",290,29.0,2.871773,0.170996,0.896657,5.032612
ok,mnist__L1_x1p5__fixed_k30__seed0,mnist,AAT-L1-x1p5-K30,fixed,0,1,30,30,30,x1p5,392,784,1176,10,80,0.001,256,8192,6,377250,42,0.9731,0.972753,0.972,0.971681,0.9695,0.96922,191.268,"[[30, 30, 30, 30, 30, 30, 30, 30, 30, 30]]",300,30.0,2.859045,0.170101,0.918231,5.008315
ok,mnist__L1_x1p5__fixed_k31__seed0,mnist,AAT-L1-x1p5-K31,fixed,0,1,31,31,31,x1p5,392,784,1176,10,80,0.001,256,8192,6,389040,37,0.9735,0.973191,0.9726,0.97223,0.9699,0.969668,192.714,"[[31, 31, 31, 31, 31, 31, 31, 31, 31, 31]]",310,31.0,2.862118,0.166611,0.907874,5.197643
ok,mnist__L1_x1p5__fixed_k32__seed0,mnist,AAT-L1-x1p5-K32,fixed,0,1,32,32,32,x1p5,392,784,1176,10,80,0.001,256,8192,6,400830,68,0.9737,0.97338,0.973,0.972621,0.9702,0.969912,186.349,"[[32, 32, 32, 32, 32, 32, 32, 32, 32, 32]]",320,32.0,2.840202,0.158243,0.922329,4.966938
ok,mnist__L1_x1p5__fixed_k33__seed0,mnist,AAT-L1-x1p5-K33,fixed,0,1,33,33,33,x1p5,392,784,1176,10,80,0.001,256,8192,6,412620,75,0.9737,0.973395,0.9736,0.973261,0.9694,0.969054,188.76,"[[33, 33, 33, 33, 33, 33, 33, 33, 33, 33]]",330,33.0,2.839113,0.152678,0.920053,4.905988
ok,mnist__L1_x1p5__fixed_k34__seed0,mnist,AAT-L1-x1p5-K34,fixed,0,1,34,34,34,x1p5,392,784,1176,10,80,0.001,256,8192,6,424410,29,0.9734,0.973077,0.9717,0.971333,0.9709,0.970598,190.506,"[[34, 34, 34, 34, 34, 34, 34, 34, 34, 34]]",340,34.0,2.866545,0.157884,0.90371,5.125799
ok,mnist__L1_x1p5__fixed_k35__seed0,mnist,AAT-L1-x1p5-K35,fixed,0,1,35,35,35,x1p5,392,784,1176,10,80,0.001,256,8192,6,436200,65,0.9747,0.974427,0.9734,0.973115,0.97,0.969688,189.153,"[[35, 35, 35, 35, 35, 35, 35, 35, 35, 35]]",350,35.0,2.841263,0.148521,0.918521,4.959964
ok,mnist__L1_x1p5__fixed_k36__seed0,mnist,AAT-L1-x1p5-K36,fixed,0,1,36,36,36,x1p5,392,784,1176,10,80,0.001,256,8192,6,447990,22,0.9734,0.973055,0.9728,0.97242,0.9702,0.969972,188.532,"[[36, 36, 36, 36, 36, 36, 36, 36, 36, 36]]",360,36.0,2.872373,0.146644,0.88151,5.256089
ok,mnist__L1_x1p5__fixed_k37__seed0,mnist,AAT-L1-x1p5-K37,fixed,0,1,37,37,37,x1p5,392,784,1176,10,80,0.001,256,8192,6,459780,21,0.9733,0.972965,0.9714,0.971076,0.9701,0.969866,187.987,"[[37, 37, 37, 37, 37, 37, 37, 37, 37, 37]]",370,37.0,2.877392,0.142092,0.880616,5.252067
ok,mnist__L1_x1p5__fixed_k38__seed0,mnist,AAT-L1-x1p5-K38,fixed,0,1,38,38,38,x1p5,392,784,1176,10,80,0.001,256,8192,6,471570,26,0.9738,0.973494,0.9729,0.97255,0.9674,0.967044,190.613,"[[38, 38, 38, 38, 38, 38, 38, 38, 38, 38]]",380,38.0,2.868963,0.142036,0.888027,5.282523
ok,mnist__L1_x1p5__fixed_k39__seed0,mnist,AAT-L1-x1p5-K39,fixed,0,1,39,39,39,x1p5,392,784,1176,10,80,0.001,256,8192,6,483360,63,0.9735,0.973186,0.9734,0.973028,0.9715,0.971223,189.135,"[[39, 39, 39, 39, 39, 39, 39, 39, 39, 39]]",390,39.0,2.836728,0.136982,0.916613,5.038603
ok,mnist__L1_x1p5__fixed_k40__seed0,mnist,AAT-L1-x1p5-K40,fixed,0,1,40,40,40,x1p5,392,784,1176,10,80,0.001,256,8192,6,495150,56,0.9728,0.972417,0.9723,0.971934,0.9698,0.969475,190.771,"[[40, 40, 40, 40, 40, 40, 40, 40, 40, 40]]",400,40.0,2.843588,0.135322,0.918142,5.149898
