rank,run_id,model,mode,fixed_k,selected_k,selected_children,total_children,params,best_epoch,best_val_acc,best_val_f1,test_acc,test_f1,final_val_acc,train_time_sec,layer1_children,layer1_sigma_mean,layer1_gate_active,layer1_move_norm,layer1_alpha_eff
22,mnist__L1_x1p5__fixed_k20__seed0,AAT-L1-x1p5-K20,fixed,20,20,"[[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]]",200,259350,33,0.9725,0.97217,0.9697,0.969463,0.9715,190.6,20.0,2.872294,0.22312,0.903078,4.943822
23,mnist__L1_x1p5__fixed_k26__seed0,AAT-L1-x1p5-K26,fixed,26,26,"[[26, 26, 26, 26, 26, 26, 26, 26, 26, 26]]",260,330090,61,0.9724,0.972025,0.9699,0.969651,0.9719,191.065,26.0,2.849845,0.183117,0.923593,4.850276
24,mnist__L1_x1p5__fixed_k19__seed0,AAT-L1-x1p5-K19,fixed,19,19,"[[19, 19, 19, 19, 19, 19, 19, 19, 19, 19]]",190,247560,53,0.9722,0.971842,0.9703,0.970095,0.9645,193.185,19.0,2.853649,0.229759,0.916142,4.752305
25,mnist__L1_x1p5__fixed_k22__seed0,AAT-L1-x1p5-K22,fixed,22,22,"[[22, 22, 22, 22, 22, 22, 22, 22, 22, 22]]",220,282930,31,0.9718,0.971396,0.9708,0.970502,0.9715,190.801,22.0,2.873288,0.207178,0.898474,4.931314
26,mnist__L1_x1p5__fixed_k16__seed0,AAT-L1-x1p5-K16,fixed,16,16,"[[16, 16, 16, 16, 16, 16, 16, 16, 16, 16]]",160,212190,80,0.9714,0.971016,0.9697,0.969393,0.9714,189.194,16.0,2.832793,0.25578,0.922625,4.474747
27,mnist__L1_x1p5__fixed_k13__seed0,AAT-L1-x1p5-K13,fixed,13,13,"[[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]]",130,176820,80,0.9705,0.970111,0.971,0.970789,0.9705,193.9,13.0,2.835098,0.287357,0.924069,4.363433
28,mnist__L1_x1p5__fixed_k15__seed0,AAT-L1-x1p5-K15,fixed,15,15,"[[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]]",150,200400,66,0.9702,0.969838,0.968,0.967746,0.9676,195.218,15.0,2.84907,0.273255,0.921133,4.480988
29,mnist__L1_x1p5__fixed_k12__seed0,AAT-L1-x1p5-K12,fixed,12,12,"[[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]]",120,165030,79,0.9697,0.969281,0.9674,0.967113,0.9695,187.611,12.0,2.835292,0.293888,0.914015,4.395948
30,mnist__L1_x1p5__fixed_k14__seed0,AAT-L1-x1p5-K14,fixed,14,14,"[[14, 14, 14, 14, 14, 14, 14, 14, 14, 14]]",140,188610,75,0.9695,0.969137,0.9706,0.97037,0.9645,193.523,14.0,2.838415,0.279192,0.92402,4.42887
31,mnist__L1_x1p5__fixed_k11__seed0,AAT-L1-x1p5-K11,fixed,11,11,"[[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]]",110,153240,62,0.9691,0.9687,0.9661,0.965712,0.9677,191.655,11.0,2.845209,0.314835,0.912883,4.441658
32,mnist__L1_x1p5__fixed_k10__seed0,AAT-L1-x1p5-K10,fixed,10,10,"[[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]]",100,141450,65,0.9681,0.967681,0.9682,0.967808,0.967,190.939,10.0,2.841995,0.33832,0.914344,4.476727
33,mnist__L1_x1p5__fixed_k03__seed0,AAT-L1-x1p5-K3,fixed,3,3,"[[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]]",30,58920,35,0.9615,0.961045,0.9596,0.959164,0.959,202.225,3.0,2.903408,0.566211,0.784592,4.204011
34,mnist__L1_x1p5__fixed_k02__seed0,AAT-L1-x1p5-K2,fixed,2,2,"[[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]]",20,47130,62,0.9587,0.958257,0.9584,0.957986,0.9576,196.616,2.0,2.859862,0.648926,0.774307,4.190232
