dataset,seed,extra_dims,layers,rays,params,best_epoch,train_acc,val_acc,test_acc,test_f1,gate_mean,alpha_entropy,alpha_max,move_norm,seconds,ray_dropout,kappa,step_scale
airline,0,1,4,32,7488,35,0.9632917642593384,0.9607340097427368,0.9603865146636963,0.959688970334739,2.074589729309082,2.6024089455604553,0.2274658940732479,0.5122410804033279,127.2903983592987,0.15,6.0,0.25
airline,1,1,4,32,7488,60,0.9645259380340576,0.9604132175445557,0.9613104462623596,0.9605761859941278,2.1408350467681885,2.600664973258972,0.2319975160062313,0.5819372534751892,151.1122534275055,0.15,6.0,0.25
airline,2,1,4,32,7488,55,0.9645825028419495,0.961054801940918,0.9618108868598938,0.961122727669935,2.0746445655822754,2.6254574060440063,0.22548365965485573,0.5300238728523254,151.39751076698303,0.15,6.0,0.25
occupancy,0,1,4,16,916,10,0.9888247847557068,0.9786116480827332,0.9799015522003174,0.9706852868173113,1.5305891036987305,1.2145217657089233,0.5748818814754486,0.4048196077346802,6.804401874542236,0.15,6.0,0.25
occupancy,1,1,4,16,916,10,0.9885791540145874,0.9786116480827332,0.9815422296524048,0.9729966666722046,1.4898431301116943,1.2192473411560059,0.5682725310325623,0.3262224644422531,6.442529678344727,0.15,6.0,0.25
occupancy,2,1,4,16,916,5,0.9885791540145874,0.9786116480827332,0.9810295104980469,0.9722699656531649,1.2845063209533691,1.2907263040542603,0.5369139909744263,0.17443805187940598,5.245148658752441,0.15,6.0,0.25
mnist,0,1,12,48,913354,140,0.9998199939727783,0.9846000075340271,0.9850999712944031,0.9849776944340205,0.18206629157066345,3.341437339782715,0.1469667007525762,0.11949480573336284,987.742050409317,0.2,6.0,0.25
