status,stage,task,variant,run_id,seed,n_train,n_val,n_test,input_dim,state_dim,extra_dims,extra_ratio,K,layers,params,total_children,selected_children,epochs,best_epoch,runtime_sec,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,best_val_loss,best_val_acc,best_test_acc_at_end,generalization_gap,init_sec,train_sec,mean_move_norm,mean_sigma,min_sigma,max_sigma,mean_charge_abs,mean_alpha_entropy,mean_alpha_eff,mean_top1_entropy,mean_top1_eff,mean_local_active,mean_global_positive,mean_z_norm,field_scale,checkpoint,error
ok,core_short,parity3,fixedK_lattice,core_parity3_K2_D1x_L2_S0,0,3072,2048,4096,5,5,0,0,2,2,96,8,"[[2, 2], [2, 2]]",60,56,4.085408926010132,0.522015651067098,0.7213541666666666,0.5551254749298096,0.6943359375,0.5506522953510284,0.697509765625,0.5551254749298096,0.6943359375,0.697509765625,0.02384440104166663,0.275463342666626,2.880467653274536,1.1728403866291046,0.3187148720026016,0.13292908668518066,0.5705577731132507,0.3371196687221527,0.4743422269821167,1.6245017051696777,1.4664533138275146,4.386662840843201,0.4776041954755783,0.7899740040302277,1.2268133461475372,0.08,,
ok,core_short,parity3,fixedK_lattice,core_parity3_K4_D1x_L2_S0,0,3072,2048,4096,5,5,0,0,4,2,152,16,"[[4, 4], [4, 4]]",60,60,2.8899765014648438,0.14602221548557281,0.9427083333333334,0.20592564344406128,0.91650390625,0.19736266881227493,0.923828125,0.20592564344406128,0.91650390625,0.923828125,0.01888020833333337,0.023761272430419922,2.8458783626556396,1.486806035041809,0.25098659843206406,0.09419268369674683,0.4374243915081024,0.4937264621257782,0.41795486211776733,1.5526522994041443,2.1290870904922485,8.417304515838623,0.45468752086162567,0.736783891916275,1.7098695933818817,0.08,,
ok,core_short,parity3,fixedK_lattice,core_parity3_K8_D1x_L2_S0,0,3072,2048,4096,5,5,0,0,8,2,264,32,"[[8, 8], [8, 8]]",60,59,3.181631088256836,0.21152445177237192,0.912109375,0.32477855682373047,0.86962890625,0.3158726394176483,0.869140625,0.32477855682373047,0.86962890625,0.869140625,0.04296875,0.03305220603942871,3.102020740509033,1.6599075496196747,0.22982828691601753,0.08015457540750504,0.4277637302875519,0.3048708066344261,0.5474770069122314,1.77867192029953,2.640058994293213,14.03172492980957,0.4811198264360428,0.6945964097976685,1.7166244983673096,0.08,,
ok,core_short,parity3,fixedK_lattice,core_parity3_K16_D1x_L2_S0,0,3072,2048,4096,5,5,0,0,16,2,488,64,"[[16, 16], [16, 16]]",60,56,2.923502206802368,0.27385323246320087,0.8671875,0.44359487295150757,0.79931640625,0.42225393652915955,0.7978515625,0.44359487295150757,0.79931640625,0.7978515625,0.0693359375,0.0961761474609375,2.810635805130005,1.9498672187328339,0.20208168029785156,0.0743647962808609,0.4055537283420563,0.18214374780654907,0.5661409497261047,1.8604310750961304,3.2882237434387207,26.862257957458496,0.48463544249534607,0.6548177301883698,1.7757292687892914,0.08,,
ok,core_short,parity3,fixedK_lattice,core_parity3_K32_D1x_L2_S0,0,3072,2048,4096,5,5,0,0,32,2,936,128,"[[32, 32], [32, 32]]",27,19,1.423008918762207,0.3481740951538086,0.833984375,0.5321930646896362,0.755859375,0.5201603472232819,0.744873046875,0.5321930646896362,0.755859375,0.744873046875,0.089111328125,0.07640671730041504,1.3328588008880615,2.654573768377304,0.1854359433054924,0.05369051918387413,0.3627604842185974,0.09135444089770317,0.7757083177566528,2.4779303073883057,3.999920606613159,54.95064926147461,0.5281250178813934,0.6751953661441803,2.4285187125205994,0.08,,
ok,core_short,parity3,fixedK_lattice,core_parity3_K64_D1x_L2_S0,0,3072,2048,4096,5,5,0,0,64,2,1832,256,"[[64, 64], [64, 64]]",41,33,2.0028395652770996,0.21476534505685171,0.91015625,0.6973512172698975,0.73876953125,0.7273015379905701,0.736328125,0.6973512172698975,0.73876953125,0.736328125,0.173828125,0.09755539894104004,1.8873884677886963,3.3338370323181152,0.15531497821211815,0.04178277775645256,0.30084940791130066,0.0904877595603466,0.7583189010620117,2.4794496297836304,4.6253087520599365,103.45874404907227,0.5187500417232513,0.6444661915302277,2.7316395938396454,0.08,,
ok,core_short,parity3,fixedK_lattice,core_parity3_K2_D2x_L2_S0,0,3072,2048,4096,5,10,5,1,2,2,166,8,"[[2, 2], [2, 2]]",60,60,2.924971342086792,0.535990834236145,0.7233072916666666,0.5483291149139404,0.7216796875,0.5646508932113647,0.701171875,0.5483291149139404,0.7216796875,0.701171875,0.02213541666666663,0.025998592376708984,2.8828115463256836,1.0303331166505814,0.34219372272491455,0.12210113555192947,0.607608437538147,0.3742489069700241,0.6086089015007019,1.8965959548950195,1.506498634815216,4.511250019073486,0.2707356959581375,0.35777996480464935,1.2261974513530731,0.08,,
ok,core_short,parity3,fixedK_lattice,core_parity3_K4_D2x_L2_S0,0,3072,2048,4096,5,10,5,1,4,2,262,16,"[[4, 4], [4, 4]]",60,58,3.1202759742736816,0.1274115045865377,0.9527994791666666,0.17881545424461365,0.93408203125,0.15796851366758347,0.935546875,0.17881545424461365,0.93408203125,0.935546875,0.01725260416666663,0.03533792495727539,3.0687897205352783,1.5734974145889282,0.24110470712184906,0.10687539726495743,0.41141360998153687,0.43327784538269043,0.403335765004158,1.520111858844757,2.1210930347442627,8.344862461090088,0.259440116584301,0.37340496480464935,1.782532274723053,0.08,,
ok,core_short,parity3,fixedK_lattice,core_parity3_K8_D2x_L2_S0,0,3072,2048,4096,5,10,5,1,8,2,454,32,"[[8, 8], [8, 8]]",60,59,3.380110740661621,0.23771145939826965,0.8984375,0.31543397903442383,0.84765625,0.32886892557144165,0.843994140625,0.31543397903442383,0.84765625,0.843994140625,0.054443359375,0.03542137145996094,3.3253040313720703,1.694934904575348,0.22051238641142845,0.07548360526561737,0.3975376486778259,0.2862090989947319,0.5092934966087341,1.6905628442764282,2.6928064823150635,14.777688980102539,0.22913412749767303,0.34599611163139343,1.6671830415725708,0.08,,
ok,core_short,parity3,fixedK_lattice,core_parity3_K16_D2x_L2_S0,0,3072,2048,4096,5,10,5,1,16,2,838,64,"[[16, 16], [16, 16]]",39,31,1.8749046325683594,0.31179452935854596,0.8486328125,0.46493056416511536,0.7783203125,0.450493186712265,0.776611328125,0.46493056416511536,0.7783203125,0.776611328125,0.072021484375,0.04198169708251953,1.8191864490509033,2.061951518058777,0.2058115378022194,0.07560320198535919,0.41888272762298584,0.16434109210968018,0.6035518646240234,1.9379987120628357,3.3573912382125854,28.716002464294434,0.24277344346046448,0.3335612267255783,1.9808932542800903,0.08,,
