status,run_id,kind,seed,k_combo,k1,k2,k3,layers,extra_dims,max_children,input_dim,state_dim,num_classes,params,epochs,lr,batch_size,init_samples,kmeans_iters,best_epoch,best_val_acc,best_val_f1,final_val_acc,final_val_f1,test_acc,test_f1,init_time_sec,train_time_sec,total_time_sec,selected_children,total_children,error,train_fisher_l0,train_fisher_l1,train_fisher_l2,train_fisher_l3,val_fisher_l0,val_fisher_l1,val_fisher_l2,val_fisher_l3,test_fisher_l0,test_fisher_l1,test_fisher_l2,test_fisher_l3,head_val_acc_l0,head_val_acc_l1,head_val_acc_l2,head_val_acc_l3,head_val_f1_l0,head_val_f1_l1,head_val_f1_l2,head_val_f1_l3,head_test_acc_l0,head_test_acc_l1,head_test_acc_l2,head_test_acc_l3,head_test_f1_l0,head_test_f1_l1,head_test_f1_l2,head_test_f1_l3,layer1_children,layer2_children,layer3_children,layer1_sigma_mean,layer2_sigma_mean,layer3_sigma_mean,layer1_charge_abs_mean,layer2_charge_abs_mean,layer3_charge_abs_mean,layer1_parent_norm,layer2_parent_norm,layer3_parent_norm,layer1_child_offset_norm,layer2_child_offset_norm,layer3_child_offset_norm,layer1_val_move_norm,layer2_val_move_norm,layer3_val_move_norm,layer1_val_gate_mean,layer2_val_gate_mean,layer3_val_gate_mean,layer1_val_gate_active,layer2_val_gate_active,layer3_val_gate_active,layer1_val_alpha_entropy,layer2_val_alpha_entropy,layer3_val_alpha_entropy,layer1_val_alpha_eff,layer2_val_alpha_eff,layer3_val_alpha_eff
ok,airline__fixed_k_2-3-4__seed0,fixed,0,2-3-4,2,3,4,3,2,8,32,34,2,952,100,0.001,512,8192,8,99,0.949185,0.948131,0.947645,0.946555,0.947451,0.946483,0.077,424.431,425.496,"[[2, 2], [3, 3], [4, 4]]",18,,637.263916,692.579224,711.748291,764.515991,1237.085571,1341.225952,1375.31311,1473.507324,2096.01709,2266.563232,2322.718018,2488.125732,0.482228,0.853009,0.884833,0.949185,0.410461,0.84994,0.882375,0.948131,0.479096,0.846166,0.879581,0.947451,0.401846,0.843608,0.877457,0.946483,2,3,4,2.718888,2.738462,2.968397,0.774014,0.63309,0.724925,7.970516,7.201524,7.477127,10.170961,19.920227,18.144474,0.732705,0.280441,0.559279,0.381954,0.066082,0.164313,0.31554,0.19618,0.291223,0.869393,1.080959,1.142288,2.385493,2.94763,3.134281
ok,airline__fixed_k_2-3-5__seed0,fixed,0,2-3-5,2,3,5,3,2,8,32,34,2,1026,100,0.001,512,8192,8,99,0.950853,0.949822,0.949763,0.948714,0.9503,0.949354,0.078,433.637,434.746,"[[2, 2], [3, 3], [5, 5]]",20,,637.263916,683.509705,702.846497,739.059448,1237.085571,1322.769653,1355.615723,1417.368286,2096.01709,2239.702393,2294.77002,2393.435791,0.58899,0.729886,0.784229,0.950853,0.561627,0.727886,0.783866,0.949822,0.580189,0.721397,0.773907,0.9503,0.54791,0.7185,0.773116,0.949354,2,3,5,2.722375,2.76162,2.736717,0.804089,0.602467,1.194921,7.091063,6.840633,8.047699,10.050226,19.79871,20.570646,0.603841,0.255552,0.845537,0.18865,0.049984,0.180286,0.394328,0.176355,0.16783,0.965159,1.033094,1.119487,2.625492,2.809948,3.063386
ok,airline__fixed_k_2-3-6__seed0,fixed,0,2-3-6,2,3,6,3,2,8,32,34,2,1100,100,0.001,512,8192,8,99,0.951495,0.950511,0.949955,0.948992,0.949723,0.948791,0.07,427.572,428.653,"[[2, 2], [3, 3], [6, 6]]",22,,637.263916,678.843994,693.466125,712.753479,1237.085571,1314.00415,1340.254517,1376.286987,2096.01709,2223.74292,2266.886719,2327.348389,0.650584,0.877967,0.889131,0.951495,0.642861,0.873227,0.884163,0.950511,0.645904,0.869803,0.884085,0.949723,0.636803,0.865044,0.879221,0.948791,2,3,6,2.851864,2.600436,2.632439,0.618752,0.599026,1.104737,7.854176,7.127962,6.815795,9.796052,19.903204,19.458393,0.634624,0.206151,0.336195,0.415884,0.033057,0.051534,0.3332,0.116964,0.126535,1.034278,0.816098,1.319338,2.813128,2.261737,3.741474
ok,airline__fixed_k_2-3-7__seed0,fixed,0,2-3-7,2,3,7,3,2,8,32,34,2,1174,100,0.001,512,8192,8,99,0.950533,0.949498,0.949442,0.948389,0.949261,0.948312,0.076,428.473,429.721,"[[2, 2], [3, 3], [7, 7]]",24,,637.263916,655.911438,701.193604,716.511963,1237.085571,1270.836182,1354.789917,1382.589111,2096.01709,2148.284424,2288.834961,2333.956543,0.708777,0.8396,0.894072,0.950533,0.707197,0.837865,0.891686,0.949498,0.695142,0.831845,0.886742,0.949261,0.692408,0.830516,0.884339,0.948312,2,3,7,2.68078,2.812906,2.620888,0.616334,0.378841,1.043336,6.764163,7.551705,7.050531,10.02506,19.603292,18.179684,0.361887,0.376255,0.535376,0.147876,0.082846,0.134236,0.23975,0.203516,0.208507,0.995067,0.952437,1.365598,2.705114,2.592118,3.918582
ok,airline__fixed_k_2-3-8__seed0,fixed,0,2-3-8,2,3,8,3,2,8,32,34,2,1248,100,0.001,512,8192,8,99,0.950982,0.949952,0.949249,0.948205,0.950223,0.949283,0.08,427.692,428.793,"[[2, 2], [3, 3], [8, 8]]",26,,637.263916,664.611328,710.463501,724.868042,1237.085571,1289.304321,1372.813721,1399.134521,2096.01709,2181.925293,2320.712646,2364.180908,0.598614,0.862826,0.883229,0.950982,0.579222,0.858504,0.879527,0.949952,0.598052,0.858138,0.876309,0.950223,0.576274,0.853883,0.872371,0.949283,2,3,8,2.669442,2.819258,2.595454,0.471973,0.467717,1.16884,7.698819,7.225391,7.055676,10.611485,19.537472,18.402435,0.605288,0.40041,0.46828,0.401559,0.078861,0.098995,0.290918,0.193817,0.173313,0.921991,0.924024,1.405789,2.514377,2.519672,4.079499
ok,airline__fixed_k_2-4-2__seed0,fixed,0,2-4-2,2,4,2,3,2,8,32,34,2,878,100,0.001,512,8192,8,99,0.949827,0.948792,0.948351,0.947275,0.950223,0.949282,0.073,430.108,431.194,"[[2, 2], [4, 4], [2, 2]]",16,,637.263916,680.062622,695.351501,750.677856,1237.085571,1317.101562,1342.943115,1446.541626,2096.01709,2232.181152,2275.317139,2442.783447,0.443796,0.675542,0.623059,0.949827,0.332133,0.665389,0.602397,0.948792,0.446451,0.66573,0.617185,0.950223,0.332233,0.653033,0.59228,0.949282,2,4,2,2.70336,2.707303,2.657524,1.013685,0.653762,1.013602,7.003524,7.209915,8.14447,10.411458,19.16913,10.095647,0.558487,0.294544,0.839961,0.119,0.07463,0.4025,0.228747,0.172655,0.415421,1.046296,1.074269,0.779721,2.84731,2.928012,2.180907
ok,airline__fixed_k_2-4-3__seed0,fixed,0,2-4-3,2,4,3,3,2,8,32,34,2,952,100,0.001,512,8192,8,99,0.947004,0.945884,0.946041,0.944919,0.94518,0.944137,0.076,429.773,430.934,"[[2, 2], [4, 4], [3, 3]]",18,,637.263916,693.850464,714.009827,754.263855,1237.085571,1344.39917,1381.329468,1455.716675,2096.01709,2272.484375,2333.672852,2461.901123,0.494097,0.851726,0.884576,0.947004,0.433568,0.848825,0.883448,0.945884,0.487835,0.845357,0.877425,0.94518,0.419402,0.842893,0.876485,0.944137,2,4,3,2.701129,2.823923,2.818322,0.852462,0.658046,0.897027,7.843282,7.620608,6.976994,10.421114,19.119192,19.634914,0.752517,0.314514,0.512463,0.373068,0.060762,0.076198,0.313069,0.160601,0.23304,0.872073,1.202047,0.934339,2.391893,3.327,2.545805
ok,airline__fixed_k_2-4-4__seed0,fixed,0,2-4-4,2,4,4,3,2,8,32,34,2,1026,100,0.001,512,8192,8,90,0.948351,0.947231,0.947389,0.946303,0.944256,0.943166,0.077,438.853,439.924,"[[2, 2], [4, 4], [4, 4]]",20,,637.263916,697.916016,722.977966,768.646301,1237.085571,1352.11853,1397.103882,1482.016357,2096.01709,2283.465088,2357.29126,2505.506592,0.488772,0.849544,0.882523,0.948351,0.428061,0.846808,0.880449,0.947231,0.485448,0.840699,0.874923,0.944256,0.420301,0.838367,0.873041,0.943166,2,4,4,2.686975,2.819042,2.815188,0.855184,0.511254,0.845823,7.84235,7.178631,7.281554,10.358354,19.142931,18.785366,0.780673,0.294935,0.518814,0.377314,0.060462,0.071548,0.309364,0.155043,0.183121,0.862322,1.144015,1.072772,2.36868,3.139469,2.923686
ok,airline__fixed_k_2-4-5__seed0,fixed,0,2-4-5,2,4,5,3,2,8,32,34,2,1100,100,0.001,512,8192,8,99,0.948479,0.947452,0.946362,0.945276,0.947528,0.946593,0.076,437.759,439.141,"[[2, 2], [4, 4], [5, 5]]",22,,637.263916,668.255981,680.735901,707.440796,1237.085571,1294.855225,1317.781372,1364.557861,2096.01709,2191.04248,2229.105713,2306.658936,0.686064,0.868023,0.875914,0.948479,0.682208,0.865991,0.874504,0.947452,0.678241,0.862142,0.86884,0.947528,0.673067,0.860315,0.867454,0.946593,2,4,5,2.820503,2.733868,2.694879,0.45229,0.529277,1.118877,7.213983,7.01899,7.603924,10.377863,19.031078,20.997913,0.468651,0.279182,0.768743,0.142269,0.057032,0.184113,0.279321,0.132932,0.173823,1.162956,1.054066,1.142072,3.199432,2.869578,3.133296
ok,airline__fixed_k_2-4-6__seed0,fixed,0,2-4-6,2,4,6,3,2,8,32,34,2,1174,100,0.001,512,8192,8,99,0.952842,0.951874,0.951816,0.950806,0.953072,0.952209,0.081,426.902,428.083,"[[2, 2], [4, 4], [6, 6]]",24,,637.263916,676.320923,695.210999,726.809998,1237.085571,1310.099365,1343.76062,1404.201172,2096.01709,2218.927246,2275.429199,2373.815918,0.642435,0.855126,0.888233,0.952842,0.634525,0.850166,0.885551,0.951874,0.640052,0.852248,0.884393,0.953072,0.630437,0.847546,0.881801,0.952209,2,4,6,2.722579,2.725451,2.599163,0.575801,0.624591,1.244602,7.493311,7.192417,6.818612,10.017809,19.046246,20.076817,0.653174,0.26219,0.486939,0.373521,0.051023,0.065112,0.32056,0.135827,0.152263,0.937011,1.08302,1.447002,2.552382,2.953838,4.250417
