dataset,n,input_dim,state_dim,max_k,nmi_knee,current_nmi_knee_plus5,anchor_f1_99,anchor_f1_995,boundary_score_99,hybrid_anchor99,hybrid_anchor995,hybrid_boundary99,hard_nmi_argmax,anchor_f1_argmax,boundary_score_argmax,selectors_json
checkerboard3d_g4,4096,3,6,100,33,38,33,33,33,38,38,38,33,33,33,"{""nmi_knee"": 33, ""nmi95"": 33, ""nmi99"": 33, ""current_nmi_knee_plus5"": 38, ""anchor_f1_99"": 33, ""anchor_f1_995"": 33, ""boundary_acc_99"": 33, ""boundary_score_99"": 33, ""hybrid_anchor99"": 38, ""hybrid_anchor995"": 38, ""hybrid_boundary99"": 38, ""hard_nmi_argmax"": 33, ""anchor_f1_argmax"": 33, ""boundary_score_argmax"": 33}"
airline_x2_sample8192,8192,32,64,100,2,7,82,89,78,82,89,78,2,100,100,"{""nmi_knee"": 2, ""nmi95"": 2, ""nmi99"": 2, ""current_nmi_knee_plus5"": 7, ""anchor_f1_99"": 82, ""anchor_f1_995"": 89, ""boundary_acc_99"": 78, ""boundary_score_99"": 78, ""hybrid_anchor99"": 82, ""hybrid_anchor995"": 89, ""hybrid_boundary99"": 78, ""hard_nmi_argmax"": 2, ""anchor_f1_argmax"": 100, ""boundary_score_argmax"": 100}"
