status,run_id,dataset,model,mode,seed,layers,fixed_k,selected_k,max_children,extra_dims,input_dim,state_dim,num_classes,epochs,lr,batch_size,init_samples,kmeans_iters,params,best_epoch,best_val_acc,best_val_f1,final_val_acc,final_val_f1,test_acc,test_f1,train_time_sec,selected_children,total_children,train_fisher_before,train_fisher_after,val_fisher_before,val_fisher_after,test_fisher_before,test_fisher_after,diag_sigma_mean,diag_sigma_min,diag_sigma_max,diag_charge_abs_mean,diag_parent_norm,diag_child_offset_norm,diag_anchor_alpha_entropy,diag_anchor_alpha_eff,diag_parent_top_rate,diag_child_top_rate,diag_gate_mean,diag_gate_active,diag_move_norm
ok,checkerboard3d_g4__L1_extra3__fixed_k13__seed0,checkerboard3d_g4,AAT-L1-extra3-K13,fixed,0,1,13,13,13,3,3,6,2,300,0.002,256,4096,8,264,202,0.73584,0.735734,0.725586,0.725585,0.737305,0.736209,33.902,"[[13, 13]]",26,0.619791,39.928429,2.350612,23.083042,0.442495,17.381105,0.148034,0.09105,0.22415,1.579385,0.798989,0.994252,0.456828,1.579057,0.071289,0.928711,0.22878,0.12162,0.244815
ok,checkerboard3d_g4__L1_extra3__fixed_k14__seed0,checkerboard3d_g4,AAT-L1-extra3-K14,fixed,0,1,14,14,14,3,3,6,2,300,0.002,256,4096,8,282,295,0.725586,0.724298,0.721191,0.720615,0.734375,0.734263,33.887,"[[14, 14]]",28,0.619791,76.518723,2.350612,30.582867,0.442495,32.855274,0.14212,0.080476,0.214085,1.794328,0.717073,0.9951,0.496864,1.643559,0.006836,0.993164,0.288853,0.132115,0.193182
ok,checkerboard3d_g4__L1_extra3__fixed_k15__seed0,checkerboard3d_g4,AAT-L1-extra3-K15,fixed,0,1,15,15,15,3,3,6,2,300,0.002,256,4096,8,300,299,0.793457,0.793208,0.787109,0.786516,0.780762,0.78076,33.974,"[[15, 15]]",30,0.619791,119.563881,2.350612,53.152679,0.442495,52.239578,0.137429,0.084146,0.215871,1.843511,0.691447,0.97552,0.570367,1.768915,0.083008,0.916992,0.247266,0.131315,0.33862
ok,checkerboard3d_g4__L1_extra3__fixed_k16__seed0,checkerboard3d_g4,AAT-L1-extra3-K16,fixed,0,1,16,16,16,3,3,6,2,300,0.002,256,4096,8,318,273,0.767578,0.76693,0.762207,0.761138,0.74707,0.747051,33.772,"[[16, 16]]",32,0.619791,117.773949,2.350612,57.33556,0.442495,53.862259,0.135695,0.092849,0.21007,1.851997,0.71331,0.969458,0.597556,1.817671,0.05957,0.94043,0.24352,0.124176,0.270228
ok,checkerboard3d_g4__L1_extra3__fixed_k17__seed0,checkerboard3d_g4,AAT-L1-extra3-K17,fixed,0,1,17,17,17,3,3,6,2,300,0.002,256,4096,8,336,268,0.790039,0.790038,0.780762,0.780541,0.793945,0.793453,34.12,"[[17, 17]]",34,0.619791,173.122528,2.350612,76.374451,0.442495,76.475075,0.132257,0.086327,0.231473,1.918379,0.692261,0.967761,0.508156,1.662224,0.020508,0.979492,0.346946,0.141803,0.263692
ok,checkerboard3d_g4__L1_extra3__fixed_k18__seed0,checkerboard3d_g4,AAT-L1-extra3-K18,fixed,0,1,18,18,18,3,3,6,2,300,0.002,256,4096,8,354,296,0.796387,0.796113,0.793945,0.793704,0.803223,0.803202,33.95,"[[18, 18]]",36,0.619791,218.166046,2.350612,92.752632,0.442495,99.033745,0.133243,0.085175,0.221799,1.975393,0.633524,0.937517,0.642331,1.900906,0.044922,0.955078,0.321613,0.142225,0.315709
ok,checkerboard3d_g4__L1_extra3__fixed_k19__seed0,checkerboard3d_g4,AAT-L1-extra3-K19,fixed,0,1,19,19,19,3,3,6,2,300,0.002,256,4096,8,372,241,0.787109,0.786901,0.779785,0.779669,0.788574,0.788548,33.568,"[[19, 19]]",38,0.619791,217.484161,2.350612,87.685631,0.442495,92.790871,0.129999,0.088573,0.214435,1.716543,0.68834,0.927992,0.592702,1.80887,0.059082,0.940918,0.452012,0.18678,0.334803
ok,checkerboard3d_g4__L1_extra3__fixed_k20__seed0,checkerboard3d_g4,AAT-L1-extra3-K20,fixed,0,1,20,20,20,3,3,6,2,300,0.002,256,4096,8,390,278,0.774414,0.773324,0.769531,0.767614,0.78125,0.781167,34.157,"[[20, 20]]",40,0.619791,224.157822,2.350612,93.35582,0.442495,102.595711,0.129848,0.092457,0.199353,1.799599,0.665315,0.961345,0.501988,1.652002,0.047363,0.952637,0.338441,0.149426,0.2894
ok,checkerboard3d_g4__L1_extra3__fixed_k21__seed0,checkerboard3d_g4,AAT-L1-extra3-K21,fixed,0,1,21,21,21,3,3,6,2,300,0.002,256,4096,8,408,278,0.844238,0.844222,0.837891,0.83789,0.832031,0.832027,33.799,"[[21, 21]]",42,0.619791,308.667725,2.350612,130.656738,0.442495,135.517212,0.124277,0.080755,0.228528,1.86207,0.594973,0.937016,0.599613,1.821414,0.061035,0.938965,0.332458,0.146787,0.383255
ok,checkerboard3d_g4__L1_extra3__fixed_k22__seed0,checkerboard3d_g4,AAT-L1-extra3-K22,fixed,0,1,22,22,22,3,3,6,2,300,0.002,256,4096,8,426,258,0.842285,0.842234,0.834473,0.83402,0.836914,0.836817,33.802,"[[22, 22]]",44,0.619791,410.105133,2.350612,170.110367,0.442495,182.678329,0.125419,0.084067,0.215063,1.782357,0.673504,0.891561,0.65976,1.934328,0.020996,0.979004,0.446293,0.188809,0.394184
ok,checkerboard3d_g4__L1_extra3__fixed_k23__seed0,checkerboard3d_g4,AAT-L1-extra3-K23,fixed,0,1,23,23,23,3,3,6,2,300,0.002,256,4096,8,444,290,0.837402,0.837382,0.830566,0.830416,0.839355,0.839342,33.45,"[[23, 23]]",46,0.619791,470.783142,2.350612,187.865845,0.442495,196.472626,0.120566,0.088755,0.203822,1.862761,0.612082,0.899905,0.573398,1.774286,0.044434,0.955566,0.418576,0.183456,0.437215
ok,checkerboard3d_g4__L1_extra3__fixed_k24__seed0,checkerboard3d_g4,AAT-L1-extra3-K24,fixed,0,1,24,24,24,3,3,6,2,300,0.002,256,4096,8,462,283,0.858398,0.858364,0.85791,0.857859,0.844727,0.844698,33.676,"[[24, 24]]",48,0.619791,555.729919,2.350612,226.737427,0.442495,236.421005,0.118551,0.089364,0.219352,1.929444,0.645865,0.908072,0.558298,1.747696,0.088867,0.911133,0.476963,0.186656,0.460735
ok,checkerboard3d_g4__L1_extra3__fixed_k25__seed0,checkerboard3d_g4,AAT-L1-extra3-K25,fixed,0,1,25,25,25,3,3,6,2,300,0.002,256,4096,8,480,292,0.868164,0.868079,0.86084,0.860415,0.855957,0.855951,33.462,"[[25, 25]]",50,0.619791,603.362244,2.350612,241.720886,0.442495,263.154602,0.119892,0.090474,0.215068,1.919613,0.651365,0.896277,0.622464,1.863514,0.068359,0.931641,0.524286,0.204922,0.455725
ok,checkerboard3d_g4__L1_extra3__fixed_k26__seed0,checkerboard3d_g4,AAT-L1-extra3-K26,fixed,0,1,26,26,26,3,3,6,2,300,0.002,256,4096,8,498,294,0.874512,0.874407,0.871094,0.871023,0.875488,0.875486,33.474,"[[26, 26]]",52,0.619791,638.488953,2.350612,258.621918,0.442495,278.137665,0.119417,0.091842,0.198464,1.938287,0.633294,0.899528,0.5491,1.731693,0.02832,0.97168,0.505724,0.207886,0.455954
ok,checkerboard3d_g4__L1_extra3__fixed_k27__seed0,checkerboard3d_g4,AAT-L1-extra3-K27,fixed,0,1,27,27,27,3,3,6,2,300,0.002,256,4096,8,516,275,0.89209,0.892071,0.887207,0.887126,0.90332,0.903263,33.514,"[[27, 27]]",54,0.619791,723.940247,2.350612,293.781494,0.442495,320.537933,0.11777,0.087747,0.184043,1.914005,0.650817,0.885616,0.534329,1.706303,0.014648,0.985352,0.564799,0.2146,0.468718
ok,checkerboard3d_g4__L1_extra3__fixed_k28__seed0,checkerboard3d_g4,AAT-L1-extra3-K28,fixed,0,1,28,28,28,3,3,6,2,300,0.002,256,4096,8,534,289,0.90918,0.909148,0.903809,0.903766,0.903809,0.903766,33.232,"[[28, 28]]",56,0.619791,783.118591,2.350612,321.407104,0.442495,356.724762,0.118302,0.087983,0.185044,1.919159,0.693675,0.890482,0.514314,1.672491,0.020508,0.979492,0.665719,0.235718,0.471425
ok,checkerboard3d_g4__L1_extra3__fixed_k29__seed0,checkerboard3d_g4,AAT-L1-extra3-K29,fixed,0,1,29,29,29,3,3,6,2,300,0.002,256,4096,8,552,297,0.925781,0.925773,0.916016,0.916006,0.916992,0.916926,33.531,"[[29, 29]]",58,0.619791,999.704773,2.350612,419.798187,0.442495,447.247345,0.114817,0.088488,0.175353,1.951787,0.699199,0.879176,0.492045,1.635658,0.009766,0.990234,0.72097,0.25218,0.519509
ok,checkerboard3d_g4__L1_extra3__fixed_k30__seed0,checkerboard3d_g4,AAT-L1-extra3-K30,fixed,0,1,30,30,30,3,3,6,2,300,0.002,256,4096,8,570,299,0.928711,0.928681,0.922852,0.922766,0.923828,0.923783,33.54,"[[30, 30]]",60,0.619791,1122.559204,2.350612,467.053284,0.442495,498.232819,0.112312,0.093475,0.170849,1.947152,0.689493,0.856242,0.438408,1.550238,0.0,1.0,0.885969,0.279533,0.534727
ok,checkerboard3d_g4__L1_extra3__fixed_k31__seed0,checkerboard3d_g4,AAT-L1-extra3-K31,fixed,0,1,31,31,31,3,3,6,2,300,0.002,256,4096,8,588,295,0.942383,0.942333,0.937012,0.93694,0.931152,0.93115,33.424,"[[31, 31]]",62,0.619791,1241.576294,2.350612,524.092773,0.442495,551.193848,0.113718,0.097582,0.169691,1.901577,0.724191,0.844587,0.460372,1.584663,0.0,1.0,0.929347,0.291496,0.559141
