rank,run_id,model,mode,fixed_k,selected_k,max_children,params,best_epoch,best_val_acc,best_val_f1,test_acc,test_f1,final_val_acc,train_time_sec,val_fisher_after,diag_gate_active,diag_move_norm
30,checkerboard3d_g4__L1_extra3__fixed_k55__seed0,AAT-L1-extra3-K55,fixed,55,55,55,1020,278,0.958984,0.958969,0.954102,0.954084,0.956055,33.092,775.630432,0.196644,0.617106
31,checkerboard3d_g4__L1_extra3__fixed_k72__seed0,AAT-L1-extra3-K72,fixed,72,72,72,1326,274,0.958984,0.958973,0.942871,0.942833,0.951172,33.131,782.671936,0.158956,0.619069
32,checkerboard3d_g4__L1_extra3__fixed_k79__seed0,AAT-L1-extra3-K79,fixed,79,79,79,1452,250,0.958984,0.958958,0.945312,0.945299,0.95459,32.707,798.249573,0.158559,0.619466
33,checkerboard3d_g4__L1_extra3__fixed_k37__seed0,AAT-L1-extra3-K37,fixed,37,37,37,696,242,0.958496,0.958474,0.947266,0.947241,0.952637,33.591,736.888184,0.263876,0.606637
34,checkerboard3d_g4__L1_extra3__fixed_k43__seed0,AAT-L1-extra3-K43,fixed,43,43,43,804,297,0.958496,0.958476,0.952637,0.952616,0.956543,33.175,730.77771,0.235641,0.614026
35,checkerboard3d_g4__L1_extra3__fixed_k60__seed0,AAT-L1-extra3-K60,fixed,60,60,60,1110,287,0.958496,0.958474,0.949219,0.949183,0.953125,32.884,721.533447,0.182052,0.603726
36,checkerboard3d_g4__L1_extra3__fixed_k39__seed0,AAT-L1-extra3-K39,fixed,39,39,39,732,291,0.958008,0.958003,0.945801,0.945759,0.955078,34.64,713.906799,0.256216,0.610234
37,checkerboard3d_g4__L1_extra3__fixed_k45__seed0,AAT-L1-extra3-K45,fixed,45,45,45,840,244,0.958008,0.957998,0.950195,0.950163,0.952637,32.966,791.582214,0.234012,0.618757
38,checkerboard3d_g4__L1_extra3__fixed_k34__seed0,AAT-L1-extra3-K34,fixed,34,34,34,642,298,0.95752,0.957518,0.955078,0.955006,0.95459,33.209,749.035278,0.284259,0.622975
39,checkerboard3d_g4__L1_extra3__fixed_k46__seed0,AAT-L1-extra3-K46,fixed,46,46,46,858,276,0.95752,0.957507,0.94873,0.948703,0.946777,33.212,764.877136,0.224811,0.619126
40,checkerboard3d_g4__L1_extra3__fixed_k36__seed0,AAT-L1-extra3-K36,fixed,36,36,36,678,276,0.957031,0.957011,0.948242,0.94822,0.95166,33.544,671.522583,0.248501,0.594344
41,checkerboard3d_g4__L1_extra3__fixed_k53__seed0,AAT-L1-extra3-K53,fixed,53,53,53,984,206,0.957031,0.957023,0.95166,0.951595,0.950684,33.283,809.899109,0.20628,0.613685
42,checkerboard3d_g4__L1_extra3__fixed_k68__seed0,AAT-L1-extra3-K68,fixed,68,68,68,1254,279,0.956543,0.956526,0.943848,0.943821,0.951172,32.453,751.910767,0.16589,0.611173
43,checkerboard3d_g4__L1_extra3__fixed_k48__seed0,AAT-L1-extra3-K48,fixed,48,48,48,894,274,0.956055,0.956012,0.943848,0.943839,0.950195,33.047,710.823975,0.205266,0.602232
44,checkerboard3d_g4__L1_extra3__fixed_k52__seed0,AAT-L1-extra3-K52,fixed,52,52,52,966,290,0.956055,0.956041,0.951172,0.951135,0.95166,33.082,671.318176,0.192049,0.58876
45,checkerboard3d_g4__L1_extra3__fixed_k62__seed0,AAT-L1-extra3-K62,fixed,62,62,62,1146,281,0.955078,0.955064,0.946777,0.946733,0.952637,32.74,694.752258,0.16346,0.593872
46,checkerboard3d_g4__L1_extra3__fixed_k63__seed0,AAT-L1-extra3-K63,fixed,63,63,63,1164,288,0.95459,0.954552,0.937988,0.937979,0.94873,32.511,686.677612,0.165806,0.595096
47,checkerboard3d_g4__L1_extra3__fixed_k61__seed0,AAT-L1-extra3-K61,fixed,61,61,61,1128,298,0.950195,0.95019,0.937012,0.936966,0.949707,32.609,623.665222,0.159456,0.576175
48,checkerboard3d_g4__L1_extra3__fixed_k33__seed0,AAT-L1-extra3-K33,fixed,33,33,33,624,298,0.945801,0.945785,0.938965,0.938903,0.931641,34.101,563.927307,0.272106,0.570548
49,checkerboard3d_g4__L1_extra3__fixed_k32__seed0,AAT-L1-extra3-K32,fixed,32,32,32,606,297,0.942871,0.942871,0.931641,0.931484,0.934082,33.979,515.734436,0.257713,0.564212
50,checkerboard3d_g4__L1_extra3__fixed_k31__seed0,AAT-L1-extra3-K31,fixed,31,31,31,588,295,0.942383,0.942333,0.931152,0.93115,0.937012,33.424,524.092773,0.291496,0.559141
51,checkerboard3d_g4__L1_extra3__fixed_k30__seed0,AAT-L1-extra3-K30,fixed,30,30,30,570,299,0.928711,0.928681,0.923828,0.923783,0.922852,33.54,467.053284,0.279533,0.534727
52,checkerboard3d_g4__L1_extra3__fixed_k29__seed0,AAT-L1-extra3-K29,fixed,29,29,29,552,297,0.925781,0.925773,0.916992,0.916926,0.916016,33.531,419.798187,0.25218,0.519509
