status,run_id,dataset,model,mode,seed,layers,fixed_k,selected_k,max_children,state_mode,extra_dims,input_dim,state_dim,num_classes,epochs,lr,batch_size,init_samples,kmeans_iters,params,best_epoch,best_val_acc,best_val_f1,final_val_acc,final_val_f1,test_acc,test_f1,train_time_sec,selected_children,total_children,train_fisher_before,train_fisher_after,val_fisher_before,val_fisher_after,test_fisher_before,test_fisher_after,layer1_children,layer1_sigma_mean,layer1_sigma_min,layer1_sigma_max,layer1_gate_active,layer1_gate_mean,layer1_move_norm,layer1_alpha_eff,layer1_parent_top_rate,layer1_child_top_rate,layer1_charge_abs_mean,layer1_parent_norm,layer1_child_offset_norm
ok,airline_satisfaction__L1_x2__fixed_k40__seed0,airline_satisfaction,AAT-L1-x2-K40,fixed,0,1,40,40,40,x2,32,32,64,2,80,0.001,512,8192,8,5622,78,0.952971,0.952033,0.952586,0.951594,0.950762,0.94986,107.215,"[[40, 40]]",80,6778.578125,7048.598633,1237.093018,1286.493408,2095.927246,2173.025635,40.0,2.714052,1.642437,3.432145,0.155423,0.105791,0.528866,14.964284,0.009155,0.990845,0.591473,8.479005,11.092408
ok,airline_satisfaction__L1_x2__fixed_k41__seed0,airline_satisfaction,AAT-L1-x2-K41,fixed,0,1,41,41,41,x2,32,32,64,2,80,0.001,512,8192,8,5756,79,0.954254,0.953295,0.949057,0.948165,0.953534,0.952637,104.184,"[[41, 41]]",82,6778.578125,7121.37793,1237.093018,1299.946045,2095.927246,2196.322998,41.0,2.728149,2.087376,3.637162,0.138383,0.081423,0.532444,14.887656,0.045288,0.954712,0.597717,8.144226,11.129613
ok,airline_satisfaction__L1_x2__fixed_k42__seed0,airline_satisfaction,AAT-L1-x2-K42,fixed,0,1,42,42,42,x2,32,32,64,2,80,0.001,512,8192,8,5890,65,0.952714,0.951736,0.951816,0.95081,0.952764,0.951845,104.141,"[[42, 42]]",84,6778.578125,7100.841309,1237.093018,1296.235107,2095.927246,2190.27832,42.0,2.714373,2.091779,3.66935,0.134158,0.082159,0.532548,13.702755,0.042603,0.957397,0.540256,8.185323,11.0307
ok,airline_satisfaction__L1_x2__fixed_k43__seed0,airline_satisfaction,AAT-L1-x2-K43,fixed,0,1,43,43,43,x2,32,32,64,2,80,0.001,512,8192,8,6024,73,0.953484,0.952546,0.95265,0.95173,0.95338,0.952525,103.98,"[[43, 43]]",86,6778.578125,7106.290527,1237.093018,1296.793579,2095.927246,2190.187012,43.0,2.723594,1.697576,3.481744,0.150924,0.098548,0.535826,15.322954,0.039551,0.960449,0.586331,8.272456,10.893109
ok,airline_satisfaction__L1_x2__fixed_k44__seed0,airline_satisfaction,AAT-L1-x2-K44,fixed,0,1,44,44,44,x2,32,32,64,2,80,0.001,512,8192,8,6158,75,0.953612,0.952723,0.95342,0.952518,0.952341,0.951506,104.183,"[[44, 44]]",88,6778.578125,7121.191406,1237.093018,1299.621338,2095.927246,2196.697021,44.0,2.724593,2.045395,3.482527,0.154703,0.107468,0.569409,16.23127,0.048462,0.951538,0.610068,8.290442,10.915802
ok,airline_satisfaction__L1_x2__fixed_k45__seed0,airline_satisfaction,AAT-L1-x2-K45,fixed,0,1,45,45,45,x2,32,32,64,2,80,0.001,512,8192,8,6292,75,0.953291,0.952303,0.951752,0.950763,0.952687,0.951755,104.302,"[[45, 45]]",90,6778.578125,7069.627441,1237.093018,1289.72522,2095.927246,2179.455078,45.0,2.720581,1.692642,3.298535,0.138749,0.102307,0.564914,15.060784,0.016968,0.983032,0.585463,8.607687,10.98021
ok,airline_satisfaction__L1_x2__fixed_k46__seed0,airline_satisfaction,AAT-L1-x2-K46,fixed,0,1,46,46,46,x2,32,32,64,2,80,0.001,512,8192,8,6426,76,0.954639,0.953721,0.953805,0.952942,0.953265,0.952404,104.519,"[[46, 46]]",92,6778.578125,7052.937988,1237.093018,1287.112061,2095.927246,2174.682617,46.0,2.708266,1.625197,3.571344,0.124932,0.083503,0.540854,13.874195,0.047119,0.952881,0.581648,8.430494,10.940546
ok,airline_satisfaction__L1_x2__fixed_k47__seed0,airline_satisfaction,AAT-L1-x2-K47,fixed,0,1,47,47,47,x2,32,32,64,2,80,0.001,512,8192,8,6560,79,0.955345,0.954472,0.954126,0.95326,0.955035,0.954253,104.219,"[[47, 47]]",94,6778.578125,7092.347168,1237.093018,1293.475342,2095.927246,2185.890381,47.0,2.718758,1.805329,3.593752,0.162369,0.12145,0.58433,15.274923,0.004028,0.995972,0.629548,8.48334,10.785361
ok,airline_satisfaction__L1_x2__fixed_k48__seed0,airline_satisfaction,AAT-L1-x2-K48,fixed,0,1,48,48,48,x2,32,32,64,2,80,0.001,512,8192,8,6694,80,0.95496,0.954042,0.95496,0.954042,0.953457,0.952616,104.425,"[[48, 48]]",96,6778.578125,7116.468262,1237.093018,1297.771362,2095.927246,2192.600586,48.0,2.705657,1.726643,3.620298,0.159409,0.124962,0.569994,14.584803,0.019043,0.980957,0.618885,8.549516,10.850627
ok,airline_satisfaction__L1_x2__fixed_k49__seed0,airline_satisfaction,AAT-L1-x2-K49,fixed,0,1,49,49,49,x2,32,32,64,2,80,0.001,512,8192,8,6828,78,0.955345,0.954468,0.953356,0.952512,0.95338,0.952588,104.264,"[[49, 49]]",98,6778.578125,7070.825684,1237.093018,1290.176758,2095.927246,2179.628418,49.0,2.722908,1.741302,3.470919,0.165289,0.127935,0.653593,17.034828,0.03418,0.96582,0.628935,8.482648,10.736434
