rank,run_id,model,mode,fixed_k,selected_k,selected_children,total_children,params,best_epoch,best_val_acc,best_val_f1,test_acc,test_f1,final_val_acc,train_time_sec,val_fisher_before,val_fisher_after,layer1_children,layer1_sigma_mean,layer1_gate_active,layer1_move_norm,layer1_alpha_eff
24,airline_satisfaction__L1_x2__fixed_k65__seed0,AAT-L1-x2-K65,fixed,65,65,"[[65, 65]]",130,8972,77,0.954895,0.954005,0.954843,0.954038,0.954318,104.284,1237.093018,1287.136353,65.0,2.700695,0.126833,0.489073,19.376947
25,airline_satisfaction__L1_x2__fixed_k95__seed0,AAT-L1-x2-K95,fixed,95,95,"[[95, 95]]",190,12992,74,0.954767,0.9538,0.955151,0.954257,0.952265,103.608,1237.093018,1291.39917,95.0,2.681458,0.123109,0.575974,26.572775
26,airline_satisfaction__L1_x2__fixed_k103__seed0,AAT-L1-x2-K103,fixed,103,103,"[[103, 103]]",206,14064,72,0.954767,0.953884,0.953919,0.953123,0.953163,102.674,1237.093018,1286.279053,103.0,2.661964,0.106306,0.602002,26.207499
27,airline_satisfaction__L1_x2__fixed_k46__seed0,AAT-L1-x2-K46,fixed,46,46,"[[46, 46]]",92,6426,76,0.954639,0.953721,0.953265,0.952404,0.953805,104.519,1237.093018,1287.112061,46.0,2.708266,0.124932,0.540854,13.874195
28,airline_satisfaction__L1_x2__fixed_k76__seed0,AAT-L1-x2-K76,fixed,76,76,"[[76, 76]]",152,10446,79,0.954639,0.953763,0.955151,0.954394,0.95451,103.684,1237.093018,1290.724731,76.0,2.704803,0.142909,0.522079,21.968929
29,airline_satisfaction__L1_x2__fixed_k85__seed0,AAT-L1-x2-K85,fixed,85,85,"[[85, 85]]",170,11652,72,0.954575,0.95368,0.954304,0.953514,0.953676,103.935,1237.093018,1278.41626,85.0,2.700171,0.128668,0.508761,23.291029
30,airline_satisfaction__L1_x2__fixed_k86__seed0,AAT-L1-x2-K86,fixed,86,86,"[[86, 86]]",172,11786,64,0.954575,0.953632,0.953342,0.952441,0.952008,103.838,1237.093018,1286.524902,86.0,2.693751,0.124649,0.552399,22.853573
31,airline_satisfaction__L1_x2__fixed_k66__seed0,AAT-L1-x2-K66,fixed,66,66,"[[66, 66]]",132,9106,75,0.95451,0.95359,0.953534,0.952683,0.954061,104.287,1237.093018,1285.567993,66.0,2.707304,0.130388,0.488842,19.557524
32,airline_satisfaction__L1_x2__fixed_k113__seed0,AAT-L1-x2-K113,fixed,113,113,"[[113, 113]]",226,15404,71,0.95451,0.953575,0.952803,0.951941,0.954254,101.067,1237.093018,1294.323364,113.0,2.662847,0.102247,0.55493,26.998341
33,airline_satisfaction__L1_x2__fixed_k120__seed0,AAT-L1-x2-K120,fixed,120,120,"[[120, 120]]",240,16342,77,0.95451,0.953531,0.952456,0.951475,0.952906,102.982,1237.093018,1299.627686,120.0,2.652814,0.108292,0.58269,29.618456
34,airline_satisfaction__L1_x2__fixed_k115__seed0,AAT-L1-x2-K115,fixed,115,115,"[[115, 115]]",230,15672,79,0.954446,0.953532,0.955343,0.954516,0.949955,101.091,1237.093018,1281.672241,115.0,2.643321,0.091916,0.530697,24.281475
35,airline_satisfaction__L1_x2__fixed_k50__seed0,AAT-L1-x2-K50,fixed,50,50,"[[50, 50]]",100,6962,78,0.954382,0.953391,0.954342,0.95341,0.952457,103.472,1237.093018,1289.544556,50.0,2.715859,0.157629,0.529368,15.952145
36,airline_satisfaction__L1_x2__fixed_k119__seed0,AAT-L1-x2-K119,fixed,119,119,"[[119, 119]]",238,16208,64,0.954382,0.953431,0.95388,0.953006,0.952137,103.016,1237.093018,1279.615967,119.0,2.671558,0.095924,0.50993,26.121462
37,airline_satisfaction__L1_x2__fixed_k60__seed0,AAT-L1-x2-K60,fixed,60,60,"[[60, 60]]",120,8302,75,0.954318,0.953328,0.953111,0.952173,0.954318,103.832,1237.093018,1285.515137,60.0,2.718337,0.125727,0.478239,18.905731
38,airline_satisfaction__L1_x2__fixed_k71__seed0,AAT-L1-x2-K71,fixed,71,71,"[[71, 71]]",142,9776,78,0.954318,0.953374,0.952764,0.951916,0.95342,104.058,1237.093018,1292.276367,71.0,2.689851,0.137105,0.546453,20.735714
39,airline_satisfaction__L1_x2__fixed_k72__seed0,AAT-L1-x2-K72,fixed,72,72,"[[72, 72]]",144,9910,58,0.954318,0.953435,0.953342,0.952528,0.953548,104.775,1237.093018,1295.454468,72.0,2.695869,0.119754,0.507211,20.587418
40,airline_satisfaction__L1_x2__fixed_k41__seed0,AAT-L1-x2-K41,fixed,41,41,"[[41, 41]]",82,5756,79,0.954254,0.953295,0.953534,0.952637,0.949057,104.184,1237.093018,1299.946045,41.0,2.728149,0.138383,0.532444,14.887656
41,airline_satisfaction__L1_x2__fixed_k75__seed0,AAT-L1-x2-K75,fixed,75,75,"[[75, 75]]",150,10312,71,0.954254,0.953369,0.952918,0.952095,0.951559,105.678,1237.093018,1288.829712,75.0,2.694806,0.122381,0.497866,23.000982
42,airline_satisfaction__L1_x2__fixed_k89__seed0,AAT-L1-x2-K89,fixed,89,89,"[[89, 89]]",178,12188,71,0.954254,0.953372,0.954112,0.95328,0.953869,104.307,1237.093018,1295.154297,89.0,2.677189,0.124698,0.589466,24.495707
43,airline_satisfaction__L1_x2__fixed_k97__seed0,AAT-L1-x2-K97,fixed,97,97,"[[97, 97]]",194,13260,79,0.954254,0.953367,0.954496,0.953699,0.95342,103.417,1237.093018,1294.778198,97.0,2.656475,0.11427,0.593611,23.042627
44,airline_satisfaction__L1_x2__fixed_k58__seed0,AAT-L1-x2-K58,fixed,58,58,"[[58, 58]]",116,8034,79,0.95419,0.953246,0.954458,0.953582,0.953933,103.774,1237.093018,1286.638794,58.0,2.713466,0.12147,0.476815,18.761749
45,airline_satisfaction__L1_x2__fixed_k80__seed0,AAT-L1-x2-K80,fixed,80,80,"[[80, 80]]",160,10982,65,0.95419,0.953227,0.952572,0.951606,0.953869,105.08,1237.093018,1301.407715,80.0,2.696387,0.147453,0.643294,20.21731
46,airline_satisfaction__L1_x2__fixed_k70__seed0,AAT-L1-x2-K70,fixed,70,70,"[[70, 70]]",140,9642,79,0.954126,0.953169,0.952918,0.952052,0.953484,103.592,1237.093018,1287.639282,70.0,2.692362,0.127106,0.516237,19.951021
47,airline_satisfaction__L1_x2__fixed_k110__seed0,AAT-L1-x2-K110,fixed,110,110,"[[110, 110]]",220,15002,79,0.954126,0.953185,0.953727,0.952866,0.952714,100.595,1237.093018,1286.730835,110.0,2.641498,0.098158,0.543593,27.314289
48,airline_satisfaction__L1_x2__fixed_k114__seed0,AAT-L1-x2-K114,fixed,114,114,"[[114, 114]]",228,15538,75,0.954126,0.953233,0.95365,0.952822,0.953291,99.744,1237.093018,1289.385376,114.0,2.636264,0.097949,0.61154,25.314445
49,airline_satisfaction__L1_x2__fixed_k53__seed0,AAT-L1-x2-K53,fixed,53,53,"[[53, 53]]",106,7364,77,0.954061,0.953134,0.953919,0.953102,0.952906,103.552,1237.093018,1274.758667,53.0,2.727047,0.159412,0.512159,16.973537
50,airline_satisfaction__L1_x2__fixed_k57__seed0,AAT-L1-x2-K57,fixed,57,57,"[[57, 57]]",114,7900,80,0.954061,0.95318,0.953265,0.952486,0.954061,104.622,1237.093018,1281.575928,57.0,2.692993,0.130799,0.510967,17.926422
51,airline_satisfaction__L1_x2__fixed_k73__seed0,AAT-L1-x2-K73,fixed,73,73,"[[73, 73]]",146,10044,75,0.954061,0.953153,0.953573,0.952743,0.953356,104.584,1237.093018,1291.621094,73.0,2.713692,0.145963,0.565313,21.910826
52,airline_satisfaction__L1_x2__fixed_k104__seed0,AAT-L1-x2-K104,fixed,104,104,"[[104, 104]]",208,14198,73,0.954061,0.953162,0.954727,0.953937,0.952329,103.163,1237.093018,1286.260376,104.0,2.653385,0.110789,0.594384,25.56082
53,airline_satisfaction__L1_x2__fixed_k112__seed0,AAT-L1-x2-K112,fixed,112,112,"[[112, 112]]",224,15270,77,0.954061,0.95317,0.954997,0.954197,0.952008,99.52,1237.093018,1281.086426,112.0,2.659726,0.115724,0.585042,28.712858
54,airline_satisfaction__L1_x2__fixed_k77__seed0,AAT-L1-x2-K77,fixed,77,77,"[[77, 77]]",154,10580,76,0.953997,0.953087,0.954112,0.953283,0.952329,104.235,1237.093018,1285.937134,77.0,2.686899,0.135727,0.528703,21.128996
55,airline_satisfaction__L1_x2__fixed_k56__seed0,AAT-L1-x2-K56,fixed,56,56,"[[56, 56]]",112,7766,68,0.953933,0.953007,0.953303,0.95249,0.95265,104.556,1237.093018,1282.339233,56.0,2.704625,0.140155,0.528861,17.948748
56,airline_satisfaction__L1_x2__fixed_k106__seed0,AAT-L1-x2-K106,fixed,106,106,"[[106, 106]]",212,14466,80,0.953933,0.952993,0.953957,0.9531,0.953933,101.744,1237.093018,1290.629028,106.0,2.643008,0.112315,0.61087,27.240398
57,airline_satisfaction__L1_x2__fixed_k117__seed0,AAT-L1-x2-K117,fixed,117,117,"[[117, 117]]",234,15940,78,0.953933,0.95297,0.953149,0.95227,0.953805,99.435,1237.093018,1289.803589,117.0,2.655391,0.09794,0.552362,29.181644
58,airline_satisfaction__L1_x2__fixed_k82__seed0,AAT-L1-x2-K82,fixed,82,82,"[[82, 82]]",164,11250,75,0.953869,0.952932,0.954035,0.953183,0.950853,117.392,1237.093018,1290.491089,82.0,2.690641,0.128181,0.553495,21.713326
59,airline_satisfaction__L1_x2__fixed_k68__seed0,AAT-L1-x2-K68,fixed,68,68,"[[68, 68]]",136,9374,80,0.953869,0.952949,0.952841,0.95201,0.953869,104.471,1237.093018,1291.011108,68.0,2.696372,0.125933,0.494485,19.4484
60,airline_satisfaction__L1_x2__fixed_k116__seed0,AAT-L1-x2-K116,fixed,116,116,"[[116, 116]]",232,15806,60,0.953869,0.952891,0.952649,0.951742,0.953741,100.202,1237.093018,1280.856934,116.0,2.660289,0.099195,0.533026,24.231167
61,airline_satisfaction__L1_x2__fixed_k94__seed0,AAT-L1-x2-K94,fixed,94,94,"[[94, 94]]",188,12858,80,0.953805,0.952818,0.954342,0.95344,0.953805,103.023,1237.093018,1291.414795,94.0,2.691694,0.12972,0.553045,25.979794
62,airline_satisfaction__L1_x2__fixed_k98__seed0,AAT-L1-x2-K98,fixed,98,98,"[[98, 98]]",196,13394,79,0.953805,0.952878,0.954304,0.953449,0.953035,103.411,1237.093018,1287.963745,98.0,2.660354,0.112428,0.588506,24.480875
63,airline_satisfaction__L1_x2__fixed_k107__seed0,AAT-L1-x2-K107,fixed,107,107,"[[107, 107]]",214,14600,80,0.953805,0.952853,0.954188,0.95333,0.953805,101.374,1237.093018,1292.778076,107.0,2.642819,0.103996,0.595406,27.776934
64,airline_satisfaction__L1_x2__fixed_k108__seed0,AAT-L1-x2-K108,fixed,108,108,"[[108, 108]]",216,14734,79,0.953805,0.952827,0.953342,0.952418,0.952522,102.458,1237.093018,1289.184937,108.0,2.638471,0.097519,0.56256,27.250563
65,airline_satisfaction__L1_x2__fixed_k74__seed0,AAT-L1-x2-K74,fixed,74,74,"[[74, 74]]",148,10178,79,0.953741,0.952827,0.954766,0.95395,0.952842,104.597,1237.093018,1294.071289,74.0,2.707474,0.139149,0.555608,24.939178
66,airline_satisfaction__L1_x2__fixed_k90__seed0,AAT-L1-x2-K90,fixed,90,90,"[[90, 90]]",180,12322,70,0.953676,0.952805,0.953457,0.952636,0.952778,104.986,1237.093018,1293.363159,90.0,2.669799,0.115502,0.523744,25.125437
67,airline_satisfaction__L1_x2__fixed_k44__seed0,AAT-L1-x2-K44,fixed,44,44,"[[44, 44]]",88,6158,75,0.953612,0.952723,0.952341,0.951506,0.95342,104.183,1237.093018,1299.621338,44.0,2.724593,0.154703,0.569409,16.23127
68,airline_satisfaction__L1_x2__fixed_k109__seed0,AAT-L1-x2-K109,fixed,109,109,"[[109, 109]]",218,14868,76,0.953612,0.952622,0.953534,0.95264,0.953099,100.271,1237.093018,1288.732666,109.0,2.641495,0.110801,0.596604,27.172867
69,airline_satisfaction__L1_x2__fixed_k69__seed0,AAT-L1-x2-K69,fixed,69,69,"[[69, 69]]",138,9508,63,0.953548,0.952644,0.953957,0.953175,0.951944,103.648,1237.093018,1291.76062,69.0,2.696068,0.124596,0.519907,18.702461
70,airline_satisfaction__L1_x2__fixed_k99__seed0,AAT-L1-x2-K99,fixed,99,99,"[[99, 99]]",198,13528,78,0.953548,0.952642,0.952995,0.952133,0.953227,104.123,1237.093018,1280.942993,99.0,2.679227,0.11067,0.541231,29.665129
71,airline_satisfaction__L1_x2__fixed_k43__seed0,AAT-L1-x2-K43,fixed,43,43,"[[43, 43]]",86,6024,73,0.953484,0.952546,0.95338,0.952525,0.95265,103.98,1237.093018,1296.793579,43.0,2.723594,0.150924,0.535826,15.322954
72,airline_satisfaction__L1_x2__fixed_k96__seed0,AAT-L1-x2-K96,fixed,96,96,"[[96, 96]]",192,13126,79,0.953484,0.952553,0.953919,0.95307,0.952842,103.631,1237.093018,1285.518799,96.0,2.658386,0.120359,0.562549,25.170622
73,airline_satisfaction__L1_x2__fixed_k51__seed0,AAT-L1-x2-K51,fixed,51,51,"[[51, 51]]",102,7096,79,0.95342,0.952523,0.953534,0.952727,0.952137,104.301,1237.093018,1275.340942,51.0,2.711886,0.142366,0.480795,15.870852
74,airline_satisfaction__L1_x2__fixed_k111__seed0,AAT-L1-x2-K111,fixed,111,111,"[[111, 111]]",222,15136,80,0.95342,0.952489,0.954342,0.95348,0.95342,102.054,1237.093018,1286.790527,111.0,2.658819,0.107654,0.577227,27.756926
75,airline_satisfaction__L1_x2__fixed_k101__seed0,AAT-L1-x2-K101,fixed,101,101,"[[101, 101]]",202,13796,76,0.953356,0.952401,0.953611,0.952735,0.951944,104.565,1237.093018,1285.336182,101.0,2.67797,0.116687,0.556455,25.631117
76,airline_satisfaction__L1_x2__fixed_k45__seed0,AAT-L1-x2-K45,fixed,45,45,"[[45, 45]]",90,6292,75,0.953291,0.952303,0.952687,0.951755,0.951752,104.302,1237.093018,1289.72522,45.0,2.720581,0.138749,0.564914,15.060784
77,airline_satisfaction__L1_x2__fixed_k102__seed0,AAT-L1-x2-K102,fixed,102,102,"[[102, 102]]",204,13930,78,0.953035,0.952132,0.953342,0.952526,0.951623,102.209,1237.093018,1280.864502,102.0,2.662919,0.106043,0.541306,27.618029
78,airline_satisfaction__L1_x2__fixed_k40__seed0,AAT-L1-x2-K40,fixed,40,40,"[[40, 40]]",80,5622,78,0.952971,0.952033,0.950762,0.94986,0.952586,107.215,1237.093018,1286.493408,40.0,2.714052,0.155423,0.528866,14.964284
79,airline_satisfaction__L1_x2__fixed_k100__seed0,AAT-L1-x2-K100,fixed,100,100,"[[100, 100]]",200,13662,78,0.952906,0.952014,0.954112,0.953352,0.951752,103.663,1237.093018,1277.735107,100.0,2.690054,0.11124,0.538678,26.609844
80,airline_satisfaction__L1_x2__fixed_k42__seed0,AAT-L1-x2-K42,fixed,42,42,"[[42, 42]]",84,5890,65,0.952714,0.951736,0.952764,0.951845,0.951816,104.141,1237.093018,1296.235107,42.0,2.714373,0.134158,0.532548,13.702755
81,airline_satisfaction__L1_x2__fixed_k105__seed0,AAT-L1-x2-K105,fixed,105,105,"[[105, 105]]",210,14332,77,0.952586,0.951677,0.953342,0.952527,0.951559,102.023,1237.093018,1297.195679,105.0,2.661379,0.106247,0.585645,27.220875
82,airline_satisfaction__L1_x2__fixed_k13__seed0,AAT-L1-x2-K13,fixed,13,13,"[[13, 13]]",26,2004,75,0.949763,0.948706,0.947375,0.94633,0.947004,136.551,1237.093018,1298.294556,13.0,2.708201,0.132014,0.488104,5.707891
83,airline_satisfaction__L1_x2__fixed_k11__seed0,AAT-L1-x2-K11,fixed,11,11,"[[11, 11]]",22,1736,77,0.949698,0.948737,0.948106,0.94721,0.947645,169.954,1237.093018,1292.31604,11.0,2.777042,0.149714,0.557879,5.598929
